,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,duration_ms,time_signature,song_name,artist,album,id,artist_uri,genres,lyrics,release_date
10,0.593,0.868,1,-3.573,0,0.295,0.183,0,0.365,0.496,104.988,audio_features,spotify:track:7aF09WaavZAmAWuUeYxlYD,https://api.spotify.com/v1/tracks/7aF09WaavZAmAWuUeYxlYD,https://api.spotify.com/v1/audio-analysis/7aF09WaavZAmAWuUeYxlYD,201257,4,Rich Love (with Seeb),OneRepublic,Rich Love,7aF09WaavZAmAWuUeYxlYD,spotify:artist:5Pwc4xIPtQLFEnJriah9YJ,"['dance pop', 'piano rock', 'pop', 'pop rock']",,2017-07-14
11,0.653,0.81,7,-6.032,0,0.0558,0.118,0,0.126,0.583,121.951,audio_features,spotify:track:3bWAqKDWg6u1davspr5IkS,https://api.spotify.com/v1/tracks/3bWAqKDWg6u1davspr5IkS,https://api.spotify.com/v1/audio-analysis/3bWAqKDWg6u1davspr5IkS,189307,4,OK,Robin Schulz,OK,3bWAqKDWg6u1davspr5IkS,spotify:artist:3t5xRXzsuZmMDkQzgOX35S,"['dance pop', 'deep euro house', 'deep house', 'edm', 'german dance', 'pop', 'pop dance', 'tropical house']",,2017-05-19
12,0.662,0.645,6,-7.477,0,0.0316,0.0185,0.000173,0.19,0.479,119.953,audio_features,spotify:track:2JQ0p4kCbWpDU3GoaZhPV7,https://api.spotify.com/v1/tracks/2JQ0p4kCbWpDU3GoaZhPV7,https://api.spotify.com/v1/audio-analysis/2JQ0p4kCbWpDU3GoaZhPV7,215586,4,Not Giving Up on You - Bit Funk Remix,Emma-Lee,Not Giving Up on You (Bit Funk Remix),2JQ0p4kCbWpDU3GoaZhPV7,spotify:artist:1OD4aWTiLRPAijuuIahCPS,[],,2017-09-22
13,0.707,0.879,7,-5.876,0,0.0615,0.0219,0.373,0.0585,0.67,139.932,audio_features,spotify:track:1ds5oarhQjo0K9gNB8SoP1,https://api.spotify.com/v1/tracks/1ds5oarhQjo0K9gNB8SoP1,https://api.spotify.com/v1/audio-analysis/1ds5oarhQjo0K9gNB8SoP1,227095,4,Backbeat,Dagny,Backbeat,1ds5oarhQjo0K9gNB8SoP1,spotify:artist:6Paz0vXJJ9bCPf0fEm3qzg,"['dance pop', 'electropop', 'indie poptimism', 'norwegian pop', 'tropical house']",,2015-09-23
14,0.743,0.735,8,-5.337,1,0.0382,0.00389,0,0.304,0.631,104.979,audio_features,spotify:track:7iNIg7XDEaYECfWD5dJ9Va,https://api.spotify.com/v1/tracks/7iNIg7XDEaYECfWD5dJ9Va,https://api.spotify.com/v1/audio-analysis/7iNIg7XDEaYECfWD5dJ9Va,189467,4,Friends (with BloodPop®),Justin Bieber,Friends (with BloodPop®),7iNIg7XDEaYECfWD5dJ9Va,spotify:artist:1uNFoZAHBGtllmzznpCI3s,"['canadian pop', 'pop']",,2017-08-17
15,0.365,0.851,4,-6.238,0,0.065,0.0964,0.003,0.238,0.309,78.068,audio_features,spotify:track:1lgN0A2Vki2FTON5PYq42m,https://api.spotify.com/v1/tracks/1lgN0A2Vki2FTON5PYq42m,https://api.spotify.com/v1/audio-analysis/1lgN0A2Vki2FTON5PYq42m,170067,4,Warriors,Imagine Dragons,Smoke + Mirrors (Deluxe),1lgN0A2Vki2FTON5PYq42m,spotify:artist:53XhwfbYqKCa1cC15pYq2q,"['modern rock', 'rock']",,2015-10-30
16,0.774,0.626,3,-4.432,0,0.0432,0.0969,3.12e-05,0.0848,0.777,100.041,audio_features,spotify:track:4iLqG9SeJSnt0cSPICSjxv,https://api.spotify.com/v1/tracks/4iLqG9SeJSnt0cSPICSjxv,https://api.spotify.com/v1/audio-analysis/4iLqG9SeJSnt0cSPICSjxv,211475,4,Attention,Charlie Puth,Attention,4iLqG9SeJSnt0cSPICSjxv,spotify:artist:6VuMaDnrHyPL1p4EHjYLi7,"['dance pop', 'pop', 'viral pop']",,2017-04-20
17,0.656,0.777,2,-7.272,1,0.0639,0.0145,0.531,0.0889,0.384,139.996,audio_features,spotify:track:1cGqqROuQQGQ2VF2tBihYv,https://api.spotify.com/v1/tracks/1cGqqROuQQGQ2VF2tBihYv,https://api.spotify.com/v1/audio-analysis/1cGqqROuQQGQ2VF2tBihYv,221138,4,Insight,Haywyre,Insight,1cGqqROuQQGQ2VF2tBihYv,spotify:artist:7aUSp5cOZlwEtd5zPC795k,"['canadian electronic', 'complextro', 'edm', 'electro house', 'future bass', 'gaming edm', 'vapor twitch']",,2015-01-23
18,0.276,0.796,0,-4.499,1,0.0579,0.00293,0,0.184,0.26,199.526,audio_features,spotify:track:2CgOd0Lj5MuvOqzqdaAXtS,https://api.spotify.com/v1/tracks/2CgOd0Lj5MuvOqzqdaAXtS,https://api.spotify.com/v1/audio-analysis/2CgOd0Lj5MuvOqzqdaAXtS,218965,4,Shelter,Porter Robinson,Shelter,2CgOd0Lj5MuvOqzqdaAXtS,spotify:artist:3dz0NnIZhtKKeXZxLOxCam,"['complextro', 'edm', 'future bass', 'progressive electro house']",,2016-08-12
19,0.658,0.678,1,-4.407,1,0.058,0.303,0,0.361,0.662,97.976,audio_features,spotify:track:5yFSF6qQA1rcLsQRnBsZgb,https://api.spotify.com/v1/tracks/5yFSF6qQA1rcLsQRnBsZgb,https://api.spotify.com/v1/audio-analysis/5yFSF6qQA1rcLsQRnBsZgb,199111,4,All Falls Down (feat. Juliander),Alan Walker,All Falls Down (feat. Juliander),5yFSF6qQA1rcLsQRnBsZgb,spotify:artist:7vk5e3vY1uw9plTHJAMwjN,['electro house'],,2017-10-27
20,0.724,0.804,11,-4.614,0,0.0448,0.124,0,0.204,0.306,124.987,audio_features,spotify:track:0tBbt8CrmxbjRP0pueQkyU,https://api.spotify.com/v1/tracks/0tBbt8CrmxbjRP0pueQkyU,https://api.spotify.com/v1/audio-analysis/0tBbt8CrmxbjRP0pueQkyU,197993,4,Wolves,Selena Gomez,Wolves,0tBbt8CrmxbjRP0pueQkyU,spotify:artist:0C8ZW7ezQVs4URX5aX7Kqx,"['dance pop', 'pop', 'post-teen pop']",,2017-10-25
21,0.792,0.612,5,-5.212,0,0.0693,0.0805,3.83e-06,0.0852,0.42,109.959,audio_features,spotify:track:4nYsmWkuTaowTMy4gskmBw,https://api.spotify.com/v1/tracks/4nYsmWkuTaowTMy4gskmBw,https://api.spotify.com/v1/audio-analysis/4nYsmWkuTaowTMy4gskmBw,199849,4,What Lovers Do (feat. SZA),Maroon 5,Red Pill Blues (Deluxe),4nYsmWkuTaowTMy4gskmBw,spotify:artist:04gDigrS5kc9YWfZHwBETP,"['pop', 'pop rock']",,2017-11-03
22,0.849,0.581,1,-5.243,0,0.0767,0.189,3.61e-06,0.0805,0.779,110.008,audio_features,spotify:track:32DGGj6KlNuBr6WaqRxpxi,https://api.spotify.com/v1/tracks/32DGGj6KlNuBr6WaqRxpxi,https://api.spotify.com/v1/audio-analysis/32DGGj6KlNuBr6WaqRxpxi,198237,4,How Long,Charlie Puth,How Long,32DGGj6KlNuBr6WaqRxpxi,spotify:artist:6VuMaDnrHyPL1p4EHjYLi7,"['dance pop', 'pop', 'viral pop']",,2017-10-05
23,0.651,0.76,7,-3.377,1,0.054,0.351,0,0.151,0.673,96.204,audio_features,spotify:track:2IQB5iBapo0Y37Yc0PtIZc,https://api.spotify.com/v1/tracks/2IQB5iBapo0Y37Yc0PtIZc,https://api.spotify.com/v1/audio-analysis/2IQB5iBapo0Y37Yc0PtIZc,141875,4,Contact,Lulleaux,Contact,2IQB5iBapo0Y37Yc0PtIZc,spotify:artist:6bA8L82JXU9CQa2nyUnLDh,"['deep tropical house', 'pop edm', 'tropical house']",,2017-08-18
24,0.664,0.708,8,-4.154,1,0.0474,0.0337,0,0.0841,0.742,103.07,audio_features,spotify:track:5Gu0PDLN4YJeW75PpBSg9p,https://api.spotify.com/v1/tracks/5Gu0PDLN4YJeW75PpBSg9p,https://api.spotify.com/v1/audio-analysis/5Gu0PDLN4YJeW75PpBSg9p,174800,4,"Let Me Go (with Alesso, Florida Georgia Line & watt)",Hailee Steinfeld,"Let Me Go (with Alesso, Florida Georgia Line & watt)",5Gu0PDLN4YJeW75PpBSg9p,spotify:artist:5p7f24Rk5HkUZsaS3BLG5F,"['dance pop', 'pop', 'post-teen pop']",,2017-09-08
25,0.551,0.711,10,-6.672,0,0.0506,0.128,4.43e-06,0.105,0.329,128.029,audio_features,spotify:track:20MJH6bpRcOPOLTs7WJhVH,https://api.spotify.com/v1/tracks/20MJH6bpRcOPOLTs7WJhVH,https://api.spotify.com/v1/audio-analysis/20MJH6bpRcOPOLTs7WJhVH,239533,4,Gold,Years & Years,Communion (Deluxe),20MJH6bpRcOPOLTs7WJhVH,spotify:artist:5vBSrE1xujD2FXYRarbAXc,"['dance pop', 'edm', 'electropop', 'gauze pop', 'pop', 'pop dance', 'tropical house', 'uk pop']",,2015-06-22
